ID_REF,Gene_Symbol,GSM77298,GSM77299,GSM77300,GSM77301,GSM77302,GSM77303,GSM77304,GSM77305,GSM77306,GSM77307,GSM77308,GSM77309,GSM77310,GSM77311,GSM77312,GSM77313,GSM77314,GSM77315,GSM77316,GSM77317,GSM77318,GSM77319,GSM77320,GSM77321,GSM77322,GSM77323,GSM77324,GSM77325,GSM77326,GSM77327,GSM77328,GSM77329,GSM77330,GSM77331,GSM77332,GSM77333
3724_f_at,YBL100W-A ,8.719636917,4.341040134,4.9443817139999995,4.3082113269999995,1.934904575,5.225490093,4.981581211,4.907001019,6.175545216000001,8.179372787,10.80137062,6.3624367710000005,6.276693821,3.381818295,5.660270691,5.433790207,7.3790416720000005,7.15102005,6.943377018,4.532397747,2.368000031,5.483007431,5.517167568,2.740814447,9.582417487999999,8.227219582,4.01018095,6.832657814,5.497933865,6.847689629,6.65861702,3.521631479,4.365933895,6.183071136000001,5.508594036,6.156638622000001
3726_f_at,YBL100W-A ,2.725312233,3.108670473,2.3700342180000002,1.9640046359999999,1.8473626380000001,2.175381184,2.109425545,2.03134799,2.7251818180000003,3.1636774539999997,4.288813114,2.8822333810000003,2.2881746290000002,1.8488636019999998,2.503386021,2.560502291,4.354515076,3.5142855639999997,3.113245487,1.653347731,0.921142817,2.230690002,2.616952658,1.7010923619999998,3.960927963,4.700592041,1.8438915009999999,3.9868156910000003,3.3512394430000003,3.368697643,2.801317215,2.211371899,2.1197803019999997,2.662401676,2.988877535,3.0259335039999997
3727_f_at,YAR009C ,2.406356335,3.656647205,2.6878547669999997,2.2609674930000003,2.609427691,2.625272274,2.145178556,2.292581081,2.429782152,2.960762501,4.130136966999999,3.2730963230000003,1.960964561,2.3840909,3.0665915010000004,2.345890522,4.371237755,4.167346954,3.223457813,2.0529158119999997,0.839999974,2.492275953,3.2489268780000002,1.768619776,3.600732565,4.893491268,1.2952488659999999,5.226166248,3.7861568930000002,3.7720589639999997,3.194292068,3.16687274,2.283516645,3.297244072,3.305358648,3.288381577
3728_f_at,YAR009C ,10.08399582,12.53757191,10.75709438,9.92125988,10.30303097,10.21350765,9.853737831,9.128526688,9.358353615,11.59865475,16.53767014,10.75939083,9.61079216,9.818181992000001,13.09255028,10.96004581,11.13489437,12.47857189,12.06268883,7.25701952,3.8994286060000003,10.12873268,13.28433418,9.650446892,14.11599541,18.97278023,9.608597755,13.47363186,10.04338837,10.06722736,11.14160347,9.529047966,9.752747536000001,10.67519665,12.14560032,11.9979248
3729_f_at,YBL100W-A ,2.321225882,2.37109828,2.172531128,1.704162002,2.15263772,2.033769131,1.6327192780000002,1.7398118969999998,1.938256741,2.411435127,3.594748974,2.5380709169999998,1.587830186,1.8318182230000002,2.240406275,2.04223752,2.018952131,3.004081488,2.595551014,1.631749511,0.898285687,1.954685926,2.362660885,1.7517378330000002,3.213675499,3.4153847689999997,1.638009071,3.746450424,2.730371714,3.2268910410000005,2.358946323,1.809641361,1.5824176069999998,2.464566946,2.599595547,2.604771614
3731_s_at,YBL111C ,0.511918247,0.292485535,0.377979577,0.294713169,0.429854095,0.384531587,0.491874307,0.5757575629999999,0.901937068,2.795964241,1.600456595,0.961421251,0.523536205,0.34659090600000003,0.449209929,0.5867580179999999,0.554069102,0.436734676,0.500505567,0.436285108,2.4697144030000002,1.908341885,1.287553668,0.548162878,0.964590967,0.502958596,0.22398190199999998,0.44320491,0.479338855,0.415966392,0.7332602140000001,0.593325078,3.527472734,1.3631889819999998,0.9666329029999999,0.825726092
3733_s_at,YEL076C-A ,0.238365501,0.151445091,0.120317824,0.13723284,0.208754227,0.19389978100000002,0.14517875,0.21839080800000002,0.184019372,0.8464125990000001,0.243150681,0.274111658,0.243398413,0.105681822,0.161399543,0.08219178,0.088071354,0.11020407800000001,0.142568246,0.13606911900000002,0.21942858399999998,0.46755921799999994,0.415236056,0.139026821,0.42124542600000003,0.07573964400000001,0.080316745,0.15821501599999999,0.173553705,0.10924369800000001,0.252469808,0.24474658100000002,1.057142854,0.617125988,0.354903907,0.149377584
3734_s_at,YRF1-1 ,0.38933029799999996,0.265895963,0.47105562700000003,0.280090004,0.40852978799999995,0.360566437,0.279523283,0.40647861399999996,0.269975781,0.938340843,0.7089040879999999,0.676142097,0.592422545,0.30795455,0.19300225399999998,0.339041114,0.372352302,0.23061224800000002,0.43276032799999997,0.34665224,0.6251428720000001,0.591143131,0.7682403329999999,0.42403179399999996,0.686202705,0.30650886899999996,0.321266979,0.31643003199999997,0.496900797,0.392857164,0.7091108559999999,0.6860321159999999,1.623076916,0.876968503,0.7563195229999999,0.566389978
3735_f_at,YBL113C ,44.89103317,35.71445084,35.2712822,30.14060783,35.29068375,33.55337524,34.16359711,35.09404373,19.68280983,57.45851898,52.20548248,31.10761452,40.53616714,32.13863754,32.88487625,35.05365372,43.38907623,26.08265305,31.6734066,24.75593758,28.06400108,32.00514984,32.53969955,24.12115288,58.26740265,42.06627274,25.49094963,24.15821648,26.3388443,28.79726982,41.0450058,24.00123405,37.75384903,28.13188934,28.33366776,30.60788345
3736_s_at,YRF1-1 ,0.26787743,0.197687864,0.18161180600000001,0.268841386,0.42536479200000005,0.285403043,0.2903575,0.19017764899999998,0.26271188300000003,0.7029148340000001,0.497716874,0.44568529700000004,0.388059705,0.213636369,0.249435663,0.25684931899999996,0.261984408,0.167346925,0.20121333,0.16522678699999999,0.25828570100000003,0.498455197,0.504291832,0.19662363800000002,0.44078144399999997,0.182248518,0.11425340199999999,0.249492913,0.289256185,0.21218489100000001,0.44127336100000003,0.331273139,0.7879120709999999,0.6899605990000001,0.42062684899999997,0.24585062300000002
3737_s_at,YEL077C ,0.513053358,0.394219637,0.333711684,0.345331848,0.43771046399999997,0.369281054,0.462621868,0.380355299,0.271186441,1.4663678409999998,0.48173517,0.544162393,0.564868033,0.377272755,0.406320542,0.34132421,0.337792635,0.318367362,0.29221433399999996,0.27213823800000003,0.5577142829999999,0.83522141,0.619098723,0.34756705200000004,0.7814407940000001,0.265088767,0.29977375300000003,0.39452335200000005,0.39669421299999996,0.295168072,0.660812318,0.42645239799999995,1.7703298330000001,1.236220479,0.641051531,0.478215724
3738_s_at,COS1 ,3.989784479,4.449710846,3.402951002,4.29471302,5.230078697,5.2352943419999995,5.463705063,4.696969986,2.418886185,5.016816616,4.800228596,3.022335052,3.181401014,4.15681839,4.270880222,4.6095891,6.490524292000001,4.116326332,4.30333662,2.166306734,2.294857264,3.2790935039999995,2.769313335,2.042701006,4.846153736000001,2.775147915,2.4298644069999997,4.109533787,4.595041275,4.665966511000001,5.3776073460000005,2.373300314,3.31978035,3.338582754,2.541961432,2.508298635
3739_f_at,COS2 ,4.675368786,4.924855232,4.192962646000001,4.111361027,4.554433346000001,4.531590462,4.228601933,3.940438986,2.102905512,4.146861076,4.5057082180000005,2.7522842880000002,2.884041548,4.3670454030000005,4.279909611,4.391552925,6.237458229,4.129591942,3.793730974,2.266738653,1.7645713090000001,2.95365572,2.6824033259999998,2.432969332,5.228327274,5.515976429,3.3156108860000004,3.905679703,4.366735458,4.644958019,5.299670696000001,2.2509269709999997,2.801098824,2.556102514,2.246713638,2.3412861819999997
3740_f_at,YBL005W-B ,7.459704876,7.315606594,6.738933086,6.6366705889999995,6.54321003,7.8148150439999995,7.651137352,7.103448391000001,8.627118111,10.00784779,14.42465782,8.594923019,10.06314659,6.347727299,9.795711517,8.695205688,6.462653637000001,8.782652855,9.945398331,7.590713023999999,3.9017140869999998,9.56848526,10.56759644,7.130089282999999,14.60439587,11.47455597,6.210407257000001,9.150101662,5.377066135,7.356092453,9.065862656,8.325092316000001,9.71648407,8.772637367,9.46713829,9.453318596
3741_f_at,YCL019W ,8.029512405,9.602312088,8.101021767,7.127109051000001,6.962963581,6.638344288,6.150595665,5.827586651,8.150121689,8.672645569,12.11415482,7.844669819,5.986223221,7.037499905,8.709932327,7.487443447,6.976588726,9.490816116,8.612739563,5.5032396320000005,3.957714081,6.629248142000001,9.043992043,6.540218352999999,9.525030136,12.25325489,6.432126522000001,13.05780983,7.904958725,8.570378304,8.079033852,6.777502537,6.921978473999999,8.580708504,9.074822426,8.768671989
3742_f_at,HAP1 ,4.125993252,3.5641615389999997,2.5175936219999997,2.624297142,2.837261677,2.831154585,2.757313013,2.748171329,3.130750656,3.873318672,5.448630333,3.932994843,2.590126514,2.896590948,3.507900476,3.4223742489999998,4.027870655,4.136734486,3.711829901,2.011878967,1.107428551,2.857878447,3.784334898,2.629592896,4.876678944,5.497041702000001,3.193438768,5.4452338220000005,3.5609505180000003,4.413865566,3.80570817,3.102595568,2.780219793,3.925196648,4.20121336,4.146265507
3751_f_at,YBL100W-A ,5.905788898,6.51445055,3.71169138,3.961755037,5.202020645,5.345315933,3.938244581,4.520376205,4.710653782,4.831838608,7.455479145,5.577665328999999,4.417910576000001,5.581818581,4.899548531000001,3.48744297,7.218506336,6.546938419,4.799797535,3.652267933,2.402285576,5.058702469,5.575107097999999,5.104269981,9.192918777000001,3.119526625,2.305429935,6.830628872,6.598140717000001,6.564075947,6.804610729,6.182941914,3.778022051,6.1968502999999995,6.2608695029999994,6.204356194
3761_f_at,YBL100W-A ,4.878547192,7.065896034,4.3847899439999996,3.579302788,5.562289715,4.2679739,3.372697353,1.685475469,5.342615128,4.886771679,6.022830963,5.974619389,3.933410168,6.0045456889999995,4.471783161,4.931507111,7.871794701000001,6.825510502,1.8473204369999998,3.898488045,3.22057128,4.757981299999999,6.605149746,5.605759621,5.073260307,7.633136272000001,5.104072571000001,6.655172825,6.528925419,6.007353306000001,6.1273331639999995,6.6069216729999996,4.415384769,6.083661079,6.289180756,6.071576117999999
3762_s_at,YBL100W-A ,0.437003404,0.30173409,0.42451760200000005,0.300337464,0.34680137,0.305010885,0.260021657,0.16927900899999998,0.243341416,0.336322874,0.327625573,0.313705564,0.49598166299999996,0.4375,0.258464992,0.30136987600000004,0.44258642200000003,0.310204059,0.21941354899999999,0.492440581,0.206857145,0.367662191,0.298283249,0.18570010399999998,0.542124569,0.29112425399999997,0.20248869100000003,0.24543611699999998,0.391528934,0.309873968,0.425905615,0.516687214,0.32967034,0.450787395,0.286147594,0.210580885
3763_s_at,YBL100W-A ,0.199772984,0.16300578400000001,0.179341659,0.190101236,0.163860843,0.155773416,0.17551462399999998,0.192267507,0.193704605,0.253363252,0.269406408,0.24771572600000002,0.30539611,0.18977274,0.18171557800000002,0.25,0.22853957100000002,0.205102041,0.158746198,0.507559419,0.13028571,0.25849640399999996,0.283261806,0.227408141,0.368742377,0.182248518,0.160633489,0.201825559,0.195247933,0.22689077300000002,0.234906703,0.381953001,0.252747267,0.366141737,0.205257818,0.187759325
3764_s_at,RDN25-1 ,12.4744606,18.48092461,10.81611824,11.06186771,11.52749729,5.16993475,5.131093979,6.8840126989999995,9.26876545,19.59641266,22.03538895,13.26802063,16.13777351,17.62386513,13.01580048,9.255707741,10.28205109,8.918367386,11.29929161,6.443844795,12.65485764,15.98352146,15.33261776,17.35352516,27.43101501,24.011835100000003,10.44457054,14.77789116,10.32851219,9.489496231,12.22832108,10.50679779,18.14066124,21.15846443,16.98078728,19.83506012
3765_s_at,RDN25-1 ,2.528944492,2.523699284,1.795686722,2.1721036430000003,1.837261558,1.115468383,1.4626218080000002,1.752351046,2.294188976,0.905829668,3.590182781,1.934010148,1.99311161,2.092045546,2.448081255,1.977168918,2.620958805,2.353061199,2.922143459,2.071274281,1.84685719,2.2996909619999997,2.63519311,2.048659563,3.393162489,2.54911232,1.058823586,1.35496974,0.929752052,1.08088243,2.9176728730000003,2.379480839,1.7747253180000002,2.027559042,2.75227499,2.704356909
3766_s_at,RDN25-1 ,33.03064728,43.26011276,41.21339417,36.35658264,41.99102402,20.28104591,27.819066999999997,27.18913269,30.36561775,52.97982025,59.15753937,39.89238358,49.29735947,48.22045517,39.94695282,39.32191849,38.20066833,27.37142754,33.61375046,19.94600487,57.1085701,34.16786575,42.35943985,40.88877869,69.31135559,56.99881744,41.64932251,28.66633034,33.02995682,32.3571434,42.40395355,27.40914536,49.51977921,40.01968384,37.75429535,41.93049622
3767_s_at,RDN18-1 ,0.434733242,0.55375725,0.7082860470000001,0.563554525,0.379349053,0.20152504699999998,0.240520045,0.316614419,0.455205798,0.37219733,0.48972606700000004,0.24568527899999998,0.306544214,0.469318181,0.37923249600000003,0.344748884,1.267558455,0.198979586,0.7502527240000001,0.306695461,1.084571481,1.031925797,0.374463528,0.40615692700000006,1.990231991,0.536094666,0.343891412,0.40770793,0.550619841,0.294117659,0.47420418299999995,0.347342372,0.514285743,0.61811024,0.772497475,0.756224036
3768_i_at,RDN5-1 ,38.55618668,46.15491104,39.48921585,35.57817841,26.36588097,30.86383438,21.37919807,19.34587288,24.69612694,44.87444305,60.56164551,42.20203018,51.69116211,42.19091034,38.04627228,31.190639500000003,34.46934128,18.052040100000003,23.46916008,22.74298096,39.99085617,28.51390266,39.82081604,43.46971129999999,62.46886826,56.15384674,46.67420959,38.04969788,43.04028702,42.03466415,48.9319458,23.29418945,48.37692261,24.02657509,32.69868469,42.17323303
3769_s_at,RDN5-1 ,15.42451763,20.72254372,18.3178215,12.1394825,11.01234627,11.82352924,7.8234014510000005,5.796238422,6.1271190639999995,15.12556076,21.71689606,16.11979675,22.80023193,17.61818314,14.72008991,12.4098177,13.14604187,5.960203647999999,9.069766997999999,6.699784279,11.03199959,10.15653992,13.73068619,17.73584938,28.13675117,23.04141998,19.20701408,14.76977825,17.95041275,18.00420189,20.46542358,6.645240307000001,16.47362709,9.624015808,12.5106163,16.39522743
3771_f_at,YAR010C ,9.136209487999999,9.895953178,7.164586067,6.300337315,6.475870132000001,7.51416111,6.442036152000001,3.394984245,7.769975662,7.671525002,12.50456715,6.420304775,3.936854362,9.443181992000001,6.012415409,8.899542809,12.42809391,3.513265133,9.311425209,5.356371403,1.1554285290000001,4.744593143,6.3068666460000005,8.799404144,10.53357792,11.66508865,8.640271187,9.611562729,8.935950279,7.329832077000001,8.946213722000001,2.598269224,5.556044102,7.550196647999999,7.837208747999999,8.022821426
3772_f_at,YAR009C ,26.02837753,18.77456665,14.08059025,10.64004517,11.02244663,13.178649900000002,12.43445206,8.887147902999999,21.58111382,21.08632469,31.16666603,19.39695358,18.10103416,16.39886475,11.1512413,15.03310585,20.93310928,7.474489688999999,17.649139399999996,20.22138214,1.997714281,15.43048382,23.01823997,27.26415062,40.70574188,19.41183472,11.95361996,12.61561966,12.12396622,10.13025284,18.52360153,5.327564716,19.9934082,22.40748024,21.13144302,22.25518417
