Probe_Set_ID,Gene_Symbol
3666_f_at,YBL100W-B 
3667_f_at,YBL100W-A 
3669_f_at,YDR034C-C 
3670_f_at,YHL009W-A 
3671_f_at,YAR010C 
3672_f_at,YBL005W-B 
3673_f_at,YAR010C 
3684_f_at,YHL009W-A 
3685_f_at,YAR010C 
3689_f_at,YBL100W-A 
3691_f_at,YHL009W-A 
3697_f_at,YBL100W-A 
3699_f_at,YAR010C 
3700_f_at,YAR009C 
3701_f_at,YAR010C 
3702_f_at,YAR010C 
3703_f_at,YAR009C 
3704_f_at,YAR009C 
3705_f_at,YAR009C 
3706_f_at,YAR010C 
3711_f_at,YAR010C 
3712_s_at,YBL005W-A 
3713_s_at,YBL005W-A 
3714_f_at,YMR045C
3715_f_at,YAR010C 
3717_s_at,YBL100W-B 
3718_s_at,YBL100W-B 
3719_s_at,YBL100W-B 
3720_f_at,YBL100W-B 
3721_s_at,YBL100W-B 
3722_s_at,YBL100W-B 
3723_f_at,YBL100W-B 
3726_f_at,YBL100W-A 
3727_f_at,YAR009C 
3728_f_at,YAR009C 
3729_f_at,YBL100W-A 
3731_s_at,YBL111C 
3733_s_at,YEL076C-A 
3734_s_at,YRF1-1 
3735_f_at,YBL113C 
3736_s_at,YRF1-1 
3737_s_at,YEL077C 
3738_s_at,COS1 
3739_f_at,COS2 
3740_f_at,YBL005W-B 
3741_f_at,YCL019W 
3762_s_at,YBL100W-A 
3763_s_at,YBL100W-A 
3764_s_at,RDN25-1 
3765_s_at,RDN25-1 
3766_s_at,RDN25-1 
3767_s_at,RDN18-1 
3768_i_at,RDN5-1 
3769_s_at,RDN5-1 
3771_f_at,YAR010C 
3772_f_at,YAR009C 
3773_f_at,YAR009C 
3774_f_at,YAR009C 
3775_f_at,YAR010C 
3778_f_at,HAP1 
3779_f_at,YAR009C 
3780_f_at,YAR009C 
3781_f_at,YCL019W 
3782_f_at,YAR010C 
3786_s_at,YAR009C 
3787_f_at,YBL100W-B 
3788_f_at,YAR009C 
3789_s_at,YBL113C 
3790_s_at,YBL113C 
3791_s_at,YBL111C 
3792_s_at,YBL113C 
3793_f_at,MAG1 
3797_f_at,YAR010C 
3798_s_at,YAR009C 
3799_f_at,YAR010C 
3807_s_at,RDN18-1 
3810_s_at,RDN25-1 
3811_s_at,RDN25-1 
3817_f_at,YGR109W-B
3820_f_at,YAR010C 
3823_f_at,YBL100W-A 
3824_f_at,YAR010C 
3829_f_at,YAR010C 
3831_s_at,GEX2
3832_s_at,GEX1 
3834_s_at,YBL111C 
3835_s_at,YBL005W-B 
3836_f_at,YBL005W-B 
3837_f_at,YAR010C 
3847_i_at,YAR010C 
3848_f_at,YAR010C 
3855_s_at,YAL067W-A
3859_i_at,NAM2 
3860_f_at,NAM2 
3861_f_at,YBL100W-A 
3879_f_at,YAR010C 
3880_f_at,YJR027W
3881_f_at,YJR027W
3883_f_at,HAP1 
3887_f_at,YHL009W-A 
3888_s_at,YHL009W-A 
3889_s_at,YHL009W-A 
3890_s_at,YHL009W-A 
3891_s_at,YHL009W-B 
3892_s_at,YHL009W-B 
3893_s_at,YHL009W-B 
3894_s_at,YHL009W-B 
3895_s_at,YHL009W-B 
3896_s_at,YHL009W-B 
3897_s_at,YHL009W-B 
3898_s_at,YHL009W-B 
3899_s_at,YHL009W-B 
3900_f_at,YHL009W-A 
3901_f_at,YHL009W-A 
3902_f_at,YBL100W-A 
3904_f_at,YAR010C 
3912_f_at,YAR010C 
