ID_REF,Gene_Symbol,Sigma,Active_threshold,Mean,Independence,GSM77298,GSM77299,GSM77300,GSM77301,GSM77302,GSM77303,GSM77304,GSM77305,GSM77306,GSM77307,GSM77308,GSM77309,GSM77310,GSM77311,GSM77312,GSM77313,GSM77314,GSM77315,GSM77316,GSM77317,GSM77318,GSM77319,GSM77320,GSM77321,GSM77322,GSM77323,GSM77324,GSM77325,GSM77326,GSM77327,GSM77328,GSM77329,GSM77330,GSM77331,GSM77332,GSM77333
10288_at,YLR036C,0.10017031278629242,0.39244702675939014,0.3894616282500001,time_dependent,0.432463109,0.5075144770000001,0.614074886,0.422947109,0.432098776,0.215686262,0.31094256,0.23197493,0.32687652100000003,0.300448447,0.477168947,0.4040609000000001,0.428243428,0.4181818370000001,0.451467276,0.329908669,0.597547352,0.357142836,0.319514662,0.142548591,0.416000009,0.309989691,0.348712444,0.378351539,0.47863251,0.576331377,0.518099546,0.45740366,0.415289253,0.424369782,0.304061502,0.112484545,0.34065935,0.3631889820000001,0.423660249,0.432572603
11331_at,KIN3,0.2814801352333951,0.45337009544632345,0.39137603686111105,time_dependent,0.36095345,1.020809293,0.8592508440000001,0.721034884,0.519640863,0.253812641,0.240520045,0.26332289,0.152542382,0.079596415,0.066210046,0.118781723,0.510907054,1.148863673,0.776523709,0.699771702,0.459308833,0.215306118,0.211324558,0.30345574,0.292571425,0.16168896900000002,0.136266097,0.28401193,0.501831472,0.650887609,0.789592803,0.710953355,0.27479338600000003,0.16911765899999998,0.162458837,0.206427693,0.212087914,0.126968503,0.138523757,0.289419055
8543_at,HST3,0.19951487103630014,0.4182142656987028,0.3953005946388889,time_dependent,0.375709414,0.439306349,0.71169126,0.6355455520000001,0.379349053,0.29193899,0.205850482,0.135841176,0.17070218899999998,0.141255617,0.297945201,0.461928934,0.685419083,0.727272749,0.770880401,0.557077646,0.259754717,0.346938759,0.286147594,0.130669549,0.16685713800000002,0.267765194,0.188841209,0.572989106,0.405372411,0.598816574,0.7850679159999999,0.660243452,0.386363655,0.292016804,0.190998912,0.0803461,0.272527456,0.249015734,0.492416561,0.60995847
5061_at,RIM8,0.13463427081853438,0.40279163995581074,0.39560068730555564,time_dependent,0.256526679,0.454335243,0.318955749,0.419572562,0.58922559,0.6437908410000001,0.629469097,0.388714761,0.32687652100000003,0.357623339,0.16780822,0.27614212,0.206659019,0.461363643,0.467268646,0.62785387,0.283166111,0.5,0.54499495,0.382289439,0.268571436,0.303810507,0.256437778,0.154915601,0.289377302,0.295857996,0.451357484,0.516227245,0.573347092,0.42331934,0.816685021,0.391841769,0.376923084,0.311023623,0.241658226,0.267634839
10602_at,YKL050C,0.22989517004214677,0.4449493403822035,0.41032802561111115,time_dependent,0.23723042,0.435838163,0.402951181,0.512935877,0.817059577,0.8104575279999999,0.899241567,0.7680251,0.26029056300000003,0.131165922,0.097031966,0.220304579,0.347876012,0.400000006,0.364559799,0.578767121,0.39464885,0.711224437,0.707785606,0.437364995,0.139428571,0.178166822,0.162017167,0.124131083,0.195360199,0.3704141970000001,0.419683248,0.551724195,0.654958665,0.60084039,0.85181123,0.264524072,0.163736269,0.179133862,0.184024259,0.197095424
10862_s_at,MPH2 ,0.2084844924444609,0.4368406711820385,0.41078727688888883,time_dependent,0.733257651,0.751445055,0.27922815100000004,0.373453349,0.404040426,0.310457528,0.28385698800000003,0.180773243,0.269975781,0.279147983,0.253424674,0.475126892,1.250287175,0.81704551,0.116252825,0.247716904,0.237458184,0.236734703,0.312436789,0.258099347,0.243428558,0.45623067,0.4581545,0.574975193,0.8046398159999999,0.5431953070000001,0.35067874200000004,0.288032472,0.288223118,0.327731103,0.299670696,0.364647686,0.368131876,0.484251976,0.361981779,0.504149318
10214_at,RRN5,0.14481019185114816,0.42082645812077224,0.4119035655555556,time_dependent,0.34052214,0.547976911,0.573212266,0.488189012,0.7643097640000001,0.46405226,0.487540603,0.319749236,0.191283301,0.265695095,0.16438356,0.262944162,0.481056303,0.537500024,0.597065449,0.6700913310000001,0.69007808,0.351020426,0.436804831,0.251619875,0.277714282,0.198764145,0.266094416,0.290963262,0.476190478,0.525443792,0.634615362,0.408722132,0.428719014,0.506302536,0.497255772,0.304079086,0.26593408,0.252952754,0.330637008,0.279045612
2281_s_at,GEA2,0.15726264035711748,0.42556897604905525,0.41418253922222226,time_dependent,0.456299663,0.258959532,0.312145293,0.326209217,0.306397319,0.34204793,0.485373765,0.309299916,0.7203390000000001,0.508968651,0.357305944,0.35025379100000004,0.500574052,0.315909088,0.229119629,0.204337895,0.2954292,0.2867347,0.323559135,0.393088579,0.965714276,0.535530388,0.73283267,0.512413085,0.338217348,0.22840236100000005,0.234162912,0.243407726,0.215909079,0.309873968,0.394072473,0.553770065,0.632967055,0.610236228,0.585439801,0.5352696779999999
4947_at,YGR066C,0.3446518458699713,0.5256328672051138,0.41585457077777777,time_dependent,0.161180481,0.172254324,0.262202054,0.33295840000000004,0.682379365,0.8398692609999999,0.90899241,0.7533960340000001,0.197336555,0.143497765,0.21347034,0.13299492,0.214695767,0.22386364600000005,0.261851013,0.433789968,1.0289855,1.070408106,0.955510557,0.45356372,0.165714279,0.13079299,0.108369105,0.113207549,0.247863248,0.342011839,0.265837103,0.448275894,0.892561972,1.065126061,1.15916574,0.201483294,0.104395606,0.100393698,0.087967642,0.094398342
7341_at,YPK3,0.15451997929757028,0.4324068630523326,0.42159681472222227,time_dependent,0.493757099,0.344508648,0.353007942,0.300337464,0.255892247,0.258169949,0.240520045,0.313479632,0.696125925,0.504484355,0.668949783,0.569543123,0.351320356,0.362500012,0.320541739,0.263698637,0.237458184,0.346938759,0.353892803,0.560475171,0.280000001,0.621009231,0.576180279,0.6385303139999999,0.302808285,0.204733714,0.289592773,0.323529422,0.237603307,0.222689092,0.347969294,0.740420282,0.43626377,0.817913353,0.707785606,0.634854734
10276_at,PET309,0.14472729040028431,0.4328944827153651,0.4239866965833334,time_dependent,0.416572094,0.360693634,0.528944373,0.350956142,0.52300787,0.154684097,0.201516792,0.290491104,0.417675555,0.479820639,0.5593607429999999,0.623350263,0.444316924,0.386363655,0.273137689,0.199771687,0.328874022,0.275510192,0.262891799,0.249460042,0.470857143,0.59217298,0.498927027,0.5769612789999999,0.586080611,0.372781068,0.436651587,0.374239385,0.380165279,0.335084051,0.201975852,0.354758948,0.435164839,0.805118144,0.774519682,0.740663886
7229_at,YBR138C,0.22978081165680253,0.46049543708079416,0.42592403627777764,time_dependent,0.7003405090000001,0.923699439,0.709421098,0.494938135,0.230078578,0.29193899,0.250270844,0.306165099,0.125907987,0.192825124,0.35844749200000003,0.352284253,0.6337543729999999,0.8261363509999999,0.6580135229999999,0.555936098,0.45039022,0.328571439,0.35591507,0.187904969,0.222857147,0.260556102,0.268240333,0.433962286,0.683760703,1.018934965,0.71606338,0.517241418,0.389462799,0.318277299,0.240395173,0.153275639,0.16923077399999994,0.306102365,0.292214334,0.409750998
6697_at,YDL211C,0.14928880398246788,0.4364148829236681,0.4266508312222223,time_dependent,0.366628826,0.343352616,0.392735511,0.286839157,0.271604955,0.263616562,0.358613193,0.375130653,0.514527857,0.966367722,0.665525138,0.569543123,0.493685454,0.3215909,0.340857804,0.207762569,0.26867336,0.386734694,0.33973708700000005,0.384449214,0.513142884,0.67971164,0.669527888,0.441906661,0.395604432,0.37988165,0.393665165,0.295131862,0.267561972,0.336134464,0.264544457,0.390605658,0.400000036,0.570866168,0.583417594,0.6597509979999999
7299_at,ECM8,0.23948777695783155,0.47048782408068646,0.4315159996111111,time_dependent,0.26787743,0.513294816,0.49489215,0.782902122,0.70145905,0.654684067,0.572047651,0.407523513,0.122276038,0.16928252600000002,0.16894978300000002,0.22233501100000005,0.401836991,0.590909123,0.469525933,0.6632419820000001,0.7424749140000001,0.6724489929999999,0.621840239,0.15010798,0.198857144,0.140061796,0.186695278,0.17378352600000002,0.35164836,0.460355043,0.50678736,0.7413793209999999,0.739669383,0.897058845,0.78375417,0.174289241,0.206593409,0.22047244,0.152679473,0.210580885
