Identify_A,Identify_B
uniprotkb:P40433,uniprotkb:Q12276
uniprotkb:P40433,uniprotkb:Q04429
uniprotkb:P40433,uniprotkb:Q03213
uniprotkb:P40433,uniprotkb:Q99332
uniprotkb:P40433,uniprotkb:Q08732
uniprotkb:P40433,uniprotkb:P29295
uniprotkb:P40433,uniprotkb:P10591
uniprotkb:P40433,uniprotkb:P10592
uniprotkb:P40433,uniprotkb:P09435
uniprotkb:P40433,uniprotkb:P22202
uniprotkb:P40433,uniprotkb:P32464
uniprotkb:P40433,uniprotkb:P43598
uniprotkb:P40433,uniprotkb:P25605
uniprotkb:P40433,uniprotkb:P32351
uniprotkb:P40433,uniprotkb:P53901
uniprotkb:P40433,uniprotkb:Q12271
uniprotkb:P40433,uniprotkb:P00817
uniprotkb:P40433,uniprotkb:Q06554
uniprotkb:P40433,uniprotkb:Q03361
uniprotkb:P40433,uniprotkb:P47135
uniprotkb:P40433,uniprotkb:P17119
uniprotkb:P40433,uniprotkb:Q12494
uniprotkb:P40433,uniprotkb:P20485
uniprotkb:P40433,uniprotkb:P13185
uniprotkb:P40433,uniprotkb:P13186
uniprotkb:P40433,uniprotkb:Q01919
uniprotkb:P40433,uniprotkb:P25341
uniprotkb:P40433,uniprotkb:P28743
uniprotkb:P40433,uniprotkb:P36004
uniprotkb:P40433,uniprotkb:P38691
uniprotkb:P40433,uniprotkb:P38800
uniprotkb:P40433,uniprotkb:P25587
uniprotkb:P40433,uniprotkb:P04173
uniprotkb:P40433,uniprotkb:P36016
uniprotkb:P40433,uniprotkb:P25579
uniprotkb:P40433,uniprotkb:Q12230
uniprotkb:P40433,uniprotkb:P34239
uniprotkb:P40433,uniprotkb:P41910
uniprotkb:P40433,uniprotkb:P32783
uniprotkb:P40433,uniprotkb:P32354
uniprotkb:P40433,uniprotkb:Q06567
uniprotkb:P40433,uniprotkb:P53094
uniprotkb:P40433,uniprotkb:P40469
uniprotkb:P40433,uniprotkb:P43638
uniprotkb:P40433,uniprotkb:P27705
uniprotkb:P40433,uniprotkb:P34072
uniprotkb:P40433,uniprotkb:P32047
uniprotkb:P40433,uniprotkb:P39016
uniprotkb:P40433,uniprotkb:P21339
uniprotkb:P40433,uniprotkb:Q05812
uniprotkb:P40433,uniprotkb:P38590
uniprotkb:P40433,uniprotkb:P33748
uniprotkb:P40433,uniprotkb:P33749
uniprotkb:P40433,uniprotkb:P53604
uniprotkb:P40433,uniprotkb:P38994
uniprotkb:P40433,uniprotkb:P30771
uniprotkb:P40433,uniprotkb:P25293
uniprotkb:P40433,uniprotkb:Q06389
uniprotkb:P40433,uniprotkb:P36003
uniprotkb:P40433,uniprotkb:P22211
uniprotkb:P40433,uniprotkb:Q04958
uniprotkb:P40433,uniprotkb:P40010
uniprotkb:P40433,uniprotkb:P39705
uniprotkb:P40433,uniprotkb:P12695
uniprotkb:P40433,uniprotkb:Q12451
uniprotkb:P40433,uniprotkb:Q05518
uniprotkb:P40433,uniprotkb:P37304
uniprotkb:P40433,uniprotkb:P08018
uniprotkb:P40433,uniprotkb:P53238
uniprotkb:P40433,uniprotkb:P25360
uniprotkb:P40433,uniprotkb:P39104
uniprotkb:P40433,uniprotkb:P53252
uniprotkb:P40433,uniprotkb:Q12236
uniprotkb:P40433,uniprotkb:P32634
uniprotkb:P40433,uniprotkb:P32598
uniprotkb:P40433,uniprotkb:P38148
uniprotkb:P40433,uniprotkb:P33329
uniprotkb:P40433,uniprotkb:P40494
uniprotkb:P40433,uniprotkb:P28708
uniprotkb:P40433,uniprotkb:P31374
uniprotkb:P40433,uniprotkb:Q08217
uniprotkb:P40433,uniprotkb:P50896
uniprotkb:P40433,uniprotkb:P36002
uniprotkb:P40433,uniprotkb:P47116
uniprotkb:P40433,uniprotkb:P40048
uniprotkb:P40433,uniprotkb:Q12221
uniprotkb:P40433,uniprotkb:Q07807
uniprotkb:P40433,uniprotkb:P36166
uniprotkb:P40433,uniprotkb:P07259
uniprotkb:P40433,uniprotkb:Q12044
uniprotkb:P40433,uniprotkb:P25611
uniprotkb:P40433,uniprotkb:Q00816
uniprotkb:P40433,uniprotkb:Q06407
uniprotkb:P40433,uniprotkb:Q06108
uniprotkb:P40433,uniprotkb:P38741
uniprotkb:P40433,uniprotkb:Q02805
uniprotkb:P40433,uniprotkb:P43602
uniprotkb:P40433,uniprotkb:P51862
uniprotkb:P40433,uniprotkb:P25042
uniprotkb:P40433,uniprotkb:P38766
uniprotkb:P40433,uniprotkb:P05759
uniprotkb:P40433,uniprotkb:P05750
uniprotkb:P40433,uniprotkb:P39940
uniprotkb:P40433,uniprotkb:P53330
uniprotkb:P40433,uniprotkb:P32608
uniprotkb:P40433,uniprotkb:P53289
