Identify_A,Identify_B
P40368,P40477
P40477,Q02630
P38810,P40482
Q04410,P40482
P40485,P10823
P19807,P40485
P33413,P40485
P35735,P40485
P36027,P40485
P40485,P38234
P40485,P40485
P50276,P40485
P53278,P40485
P53283,P40485
P40485,Q02785
Q07651,P40485
P40485,Q12335
P38328,P40494
Q04217,P40504
P40513,P19807
P35735,P40513
P36027,P40513
P40513,P38234
P40485,P40513
Q12335,P40513
P38310,P40528
P40528,P40528
P40529,P22137
P15496,P40535
P08518,P40540
P0CY06,P40540
P10614,P40540
P14359,P40540
P40540,P38264
P40540,P38782
P38902,P40540
P39543,P40540
P40540,P40540
P47006,P40540
Q02785,P40540
P40540,Q02866
P40540,Q03860
P40540,Q04377
P40540,Q05359
P40540,Q06144
Q06408,P40540
Q99278,P40540
Q3E806,P40559
P25567,P40561
P32588,P40561
P53316,P40561
P40016,P40577
P40581,P0C268
P40581,P10614
P38009,P40581
P38234,P40581
P54783,P40581
P40581,Q02785
P40581,Q06451
Q12462,P40581
Q3E756,P40581
P40582,P0C268
P40582,P14359
P32465,P40582
P38756,P40582
P54783,P40582
P54837,P40582
Q05359,P40582
Q12270,P40582
Q12462,P40582
P21304,P40693
P40693,P53874
P40958,Q02785
P40958,Q8TGU5
P40961,Q08979
P0CX10,P40993
P40993,Q07843
P10127,P40994
Q12462,P40994
P41697,P41697
P10614,P41806
P32366,P41806
P41806,P32563
P41806,P32610
P41806,P39111
P41807,P41806
P41806,P53262
P41806,P54837
P32563,P41807
P41807,P38310
P39111,P41807
P41807,P41807
P53262,P41807
P41809,Q04048
P40210,P41896
P41896,P52490
P35208,P41912
P41921,P31412
P41921,P41921
P25567,P41940
P41940,P32324
P41940,P38636
P41940,P41810
P53278,P41940
P53338,P41940
P41940,Q10740
P42838,P11076
P42838,P32660
P42842,P32324
P32324,P42842
P42935,Q02884
Q3E840,P42935
P42945,Q06679
P54783,P43497
P10614,P43542
P43542,P25361
P38264,P43542
P43542,P54837
P22219,P43550
P11076,P43555
P43555,P32798
P38142,P43555
P43555,P38166
P38310,P43555
P38929,P43555
P43555,P43621
P46989,P43555
P53337,P43555
P54837,P43555
P43555,Q04651
P43555,Q12016
P43555,Q12270
P25656,P43556
P43556,P43556
P43556,Q12057
P43561,P38310
P43574,P23202
P21304,P43586
P43586,P39744
P53874,P43586
Q06205,P43586
Q08235,P43586
P43587,P36047
P32660,P43603
P32793,P43603
P43603,P43603
Q08412,P43603
P43612,P38009
P43613,P10127
P43639,P15790
P43639,P19454
P38930,P43639
P46673,P35729
P46673,P40368
P49687,P46673
P46675,P46675
P46682,P46682
Q08951,P46682
P46682,Q12114
P46956,P10614
P40207,P46956
P40540,P46956
P46963,P46962
P46965,P10614
P21825,P46965
P38264,P46965
P46965,P39727
Q04651,P46965
Q05359,P46965
Q06144,P46965
P46989,P11076
P32319,P46989
P32798,P46989
P46989,P32913
P46989,P38310
P46989,P38929
P46989,P46989
Q03308,P46989
Q03730,P46989
P46989,Q03860
P46989,Q08826
P46989,Q12016
Q12116,P46989
Q12270,P46989
Q2V2P9,P46989
Q92331,P46989
P47006,P32495
P47006,P47006
P47006,P53131
P47006,Q03525
Q6Q547,P47006
P54783,P47031
P36027,P47068
P38328,P47068
P47068,P40518
P47068,P40563
P47068,P47068
Q04439,P47068
P25655,P47093
Q06406,P47093
P32610,P47104
P47120,P34244
P47120,P50873
P47122,P08518
P47138,P40487
P0CX10,P47146
P47146,P53271
Q3E776,P47146
P47146,Q8TGU5
P47149,P06776
P47154,P10614
P47154,P16603
P26570,P47154
P47154,P38264
P47154,P40540
P10614,P47155
P47155,P38264
P47155,P47155
Q04201,P47155
P47158,P48564
P47158,Q8TGJ2
P47165,P47165
P39968,P47170
Q04049,P48353
P52553,P48363
P48363,P53900
P48363,Q04493
P48524,P32445
P48570,P48570
Q12122,P48570
P48837,P14907
P48837,P48837
P48837,Q02199
P38875,P49018
P39012,P49018
P49018,Q04080
P25619,P49573
P49573,P49573
P49687,P46673
P49775,P49775
P33298,P50086
P29366,P50090
P38853,P50090
P50094,P38902
P50094,P50094
P50094,P50095
P50094,P50095
P50095,P50095
P50106,P50106
P06634,P50109
P50273,Q8TGJ2
P10823,P50276
P50276,P19807
P50276,P23585
P50276,P26570
P30605,P50276
P32465,P50276
P50276,P32487
P50276,P33302
P50276,P33413
P35735,P50276
P50276,P36027
P50276,P38143
P50276,P38196
P38234,P50276
P50276,P39719
P50276,P40260
P40474,P50276
P40485,P50276
P50276,P50276
P53049,P50276
P50276,P53139
P50276,P53278
P53283,P50276
P50276,P53388
P50276,P53390
P50276,P53832
P50276,Q02785
P50276,Q03640
P50276,Q05812
P50276,Q06170
Q06451,P50276
P50276,Q06689
P50276,Q07651
Q07824,P50276
Q08967,P50276
Q12256,P50276
P50276,Q12335
P50276,Q3E756
P50278,P38009
P50942,P38328
P50942,P43603
P51862,P53832
P51862,Q07622
P51979,P23202
P39958,P51996
P51996,P54783
P52490,P40210
P52490,P53152
P20434,P52553
P52553,P48363
P52553,P53900
P52553,Q04493
P52553,Q8TGU5
P52893,Q03370
Q06263,P52917
P53008,Q6Q5K6
P40965,P53038
P15496,P53040
Q04228,P53044
P10614,P53045
P53045,P26570
P53045,P32353
P53045,P32915
P53045,P38142
P38264,P53045
P53045,P38353
P53045,P40207
P53045,P40350
P40540,P53045
P46956,P53045
P53045,P47155
P53045,P54837
Q04969,P53045
Q05359,P53045
Q06144,P53045
Q12270,P53045
P53049,P10823
P53049,P19807
P53049,P35735
P53049,P36027
P38234,P53049
P53049,P50276
P53049,P53049
P53049,Q02785
P53049,Q03640
Q08967,P53049
P53049,Q12256
Q06156,P53053
P40340,P53068
P53112,P33760
P53112,P40155
P53112,P53112
Q07418,P53112
Q12329,P53112
Q12462,P53112
P33895,P53119
P38996,P53125
P53125,P43593
Q03049,P53125
Q96VH3,P53125
P53131,P07278
P53131,P32495
P53131,P53131
Q03525,P53131
P53131,Q6Q547
P53145,P38344
Q02256,P53145
P40210,P53152
P53152,P52490
P53152,P53751
P53154,P38694
P53166,Q04049
P26364,P53168
P19807,P53172
P53172,P32465
P53172,P32568
P53172,P33302
P33413,P53172
P53172,P33892
P53172,P35735
P36027,P53172
P53172,P38234
P53172,P40474
P50276,P53172
P53388,P53172
Q02785,P53172
P53172,Q03640
P53172,Q06451
P53172,Q06689
Q3E756,P53172
P39968,P53191
Q02205,P53191
P54837,P53198
P53198,Q12450
P53199,P54837
Q05359,P53199
Q06144,P53199
P53223,P38242
P53223,P53223
P53235,P06634
P53235,P24276
P53235,P25567
P53235,P38263
P53235,P53235
P53235,P53849
P53241,P19807
P53241,P35735
P53241,P36027
P38234,P53241
P53241,P50276
P53278,P53241
P53241,Q02785
P53241,Q03640
Q06689,P53241
P53241,Q07651
P17555,P53250
P53250,P53250
P25847,P53257
P53261,P21304
P38779,P53261
P39744,P53261
P53267,P53289
P53276,P38882
Q04177,P53276
P53276,Q04305
P53276,Q06679
P53283,P19807
P32465,P53283
P32568,P53283
P53283,P33302
P35735,P53283
P53283,P36027
P53283,P38234
P38264,P53283
P53283,P38695
P53283,P50276
P53283,Q02785
P53283,Q03640
Q06451,P53283
Q06689,P53283
Q07651,P53283
Q07824,P53283
P53290,P53191
P53290,Q02205
P53295,P33892
Q03768,P53295
P53309,P25623
P53309,P32660
P53319,P53319
P53327,P36119
P35844,P53332
P32495,P53335
P32583,P53335
P53335,P53335
P53335,Q03525
Q6Q547,P53335
P10614,P53337
P11076,P53337
P53337,P26570
P32500,P53337
P32915,P53337
P36076,P53337
P38353,P53337
P38694,P53337
P38819,P53337
P40540,P53337
P53337,P40582
P53337,P43621
P53337,P53337
P53337,P54837
Q04651,P53337
P53337,Q05359
Q12450,P53337
P53337,Q99287
P19807,P53388
P53388,P32465
P53388,P32487
P33302,P53388
P53388,P38084
P50276,P53388
P53388,P53283
P53388,P53388
P53388,Q02774
P53388,Q02785
P53390,P10823
P19807,P53390
P53390,P26570
P53390,P33413
